6767.96,-8179.57,
6767.95,-8179.57,
6767.95,-8179.58,
6767.94,-8179.59,
6767.94,-8179.6,
6767.93,-8179.61,
6767.93,-8179.62,
6767.94,-8179.63,
6767.97,-8179.65,
6768.02,-8179.67,
6768.09,-8179.69,
6768.18,-8179.71,
6768.28,-8179.74,
6768.41,-8179.76,
6768.57,-8179.79,
6768.75,-8179.81,
6768.96,-8179.84,
6769.2,-8179.86,
6769.47,-8179.89,
6769.77,-8179.92,
6770.1,-8179.95,
6770.5,-8179.99,
6770.87,-8180.02,
6771.32,-8180.06,
6771.81,-8180.1,
6772.36,-8180.13,
6772.95,-8180.17,
6773.59,-8180.22,
6774.27,-8180.28,
6775,-8180.33,
6775.8,-8180.39,
6776.66,-8180.47,
6777.57,-8180.55,
6778.54,-8180.65,
6779.55,-8180.75,
6780.61,-8180.86,
6781.67,-8180.98,
6782.76,-8181.1,
6783.84,-8181.21,
6784.95,-8181.33,
6786.06,-8181.45,
6787.18,-8181.56,
6788.29,-8181.67,
6789.39,-8181.78,
6790.48,-8181.87,
6791.56,-8181.97,
6792.62,-8182.05,
6793.72,-8182.12,
6794.67,-8182.15,
6795.78,-8182.13,
6796.73,-8182.08,
6797.77,-8181.96,
6798.72,-8181.79,
6799.73,-8181.54,
6800.67,-8181.25,
6801.61,-8180.92,
6802.53,-8180.54,
6803.48,-8180.06,
6804.36,-8179.57,
6805.31,-8178.98,
6806.19,-8178.37,
6807.13,-8177.68,
6808.08,-8176.92,
6809.08,-8176.05,
6810.02,-8175.18,
6811.05,-8174.16,
6812.01,-8173.14,
6813.09,-8171.93,
6814.11,-8170.75,
6815.24,-8169.4,
6816.3,-8168.08,
6817.46,-8166.6,
6818.52,-8165.23,
6819.69,-8163.7,
6820.87,-8162.2,
6821.95,-8160.85,
6823.06,-8159.48,
6824.27,-8158,
6825.41,-8156.63,
6826.68,-8155.15,
6827.88,-8153.79,
6829.23,-8152.31,
6830.51,-8150.93,
6831.85,-8149.51,
6833.26,-8148.05,
6834.58,-8146.7,
6836.11,-8145.19,
6837.55,-8143.78,
6839.13,-8142.25,
6840.62,-8140.83,
6842.24,-8139.3,
6843.75,-8137.88,
6845.46,-8136.29,
6846.95,-8134.92,
6848.66,-8133.38,
6850.25,-8131.96,
6852.02,-8130.4,
6853.67,-8128.96,
6855.47,-8127.41,
6857.11,-8125.99,
6858.88,-8124.48,
6860.5,-8123.05,
6862.27,-8121.47,
6863.88,-8120.02,
6865.61,-8118.44,
6867.2,-8116.99,
6868.89,-8115.42,
6870.43,-8113.97,
6872.08,-8112.41,
6873.62,-8110.98,
6875.29,-8109.41,
6876.81,-8107.98,
6878.43,-8106.45,
6879.92,-8105.06,
6881.51,-8103.57,
6882.96,-8102.21,
6884.51,-8100.74,
6885.95,-8099.38,
6887.52,-8097.9,
6888.98,-8096.55,
6890.57,-8095.1,
6892.05,-8093.77,
6893.66,-8092.34,
6895.17,-8091.03,
6896.8,-8089.62,
6898.31,-8088.33,
6899.92,-8086.94,
6901.4,-8085.67,
6903,-8084.29,
6904.46,-8083.02,
6906.01,-8081.66,
6907.42,-8080.42,
6908.92,-8079.09,
6910.28,-8077.87,
6911.74,-8076.54,
6913.06,-8075.33,
6914.45,-8074,
6915.71,-8072.78,
6917.02,-8071.45,
6918.18,-8070.22,
6919.39,-8068.85,
6920.45,-8067.55,
6921.57,-8066.09,
6922.56,-8064.68,
6923.62,-8063.12,
6924.58,-8061.64,
6925.61,-8059.93,
6926.54,-8058.28,
6927.53,-8056.41,
6928.42,-8054.61,
6929.36,-8052.58,
6930.23,-8050.57,
6931.13,-8048.32,
6931.95,-8046.16,
6932.83,-8043.73,
6933.62,-8041.42,
6934.47,-8038.84,
6935.23,-8036.4,
6936.05,-8033.72,
6936.8,-8031.22,
6937.62,-8028.49,
6938.38,-8025.97,
6939.23,-8023.27,
6940.05,-8020.73,
6940.98,-8018,
6941.88,-8015.49,
6942.89,-8012.79,
6943.89,-8010.24,
6945.01,-8007.51,
6946.1,-8004.97,
6947.31,-8002.23,
6948.45,-7999.69,
6949.66,-7996.98,
6950.79,-7994.43,
6951.99,-7991.69,
6953.1,-7989.18,
